rebalance_date,next_rebalance_date,portfolio_return_gross,transaction_cost,slippage_cost,portfolio_return_net,qqq_return,tqqq_return,excess_return,portfolio_value,qqq_value,tqqq_value,turnover
2017-06-01,2017-07-03,-0.04970005081236875,0.0,0.0,-0.04970005081236875,-0.03721769105572115,-0.11627911522203993,-0.012482359756647604,151833.56142184554,118778.99623089538,158518.30682354665,1.3333333333333333
2017-07-03,2017-08-01,0.13274295064554759,0.0,0.0,0.13274295064554759,0.054115483403160525,0.16473681007682206,0.07862746724238706,171988.3963720033,125206.77903007247,184632.1070284367,1.3333333333333333
2017-08-01,2017-09-01,0.07325851369041002,0.0,0.0,0.07325851369041002,0.016996336055783212,0.0428378980309434,0.056262177634626806,184588.01066221338,127334.83552292977,192541.35840255907,0.0
2017-09-01,2017-10-02,0.01972742492788478,0.0,0.0,0.01972742492788478,-0.0006939875782092653,-0.007106511940642379,0.020421412506094045,188229.45678513977,127246.46672880356,191173.0609400038,0.6666666666666666
2017-10-02,2017-11-01,-0.017186790697949816,0.0,0.0,-0.017186790697949816,0.044786248107024695,0.1327573869845542,-0.06197303880497451,184994.3965081848,132945.358558462,216552.6969722377,1.3333333333333333
2017-11-01,2017-12-01,0.07573954396054923,0.0,0.0,0.07573954396054923,0.015713311142015574,0.04230207811205666,0.060026232818533656,199005.78773497173,135034.37034237795,225713.3260749338,0.6666666666666666
2017-12-01,2018-01-02,0.009049735322354275,0.0,0.0,0.009049735322354275,0.028037494431659704,0.07814022365821449,-0.01898775910930543,200806.73744158982,138820.39574893506,243350.61585706862,0.6666666666666666
2018-01-02,2018-02-01,-0.03392943877512533,0.0,0.0,-0.03392943877512533,0.05975106861763413,0.18431176418044504,-0.09368050739275946,193993.47753793275,147115.06274085678,288202.9971800828,0.0
2018-02-01,2018-03-01,-0.06575211188468791,0.0,0.0,-0.06575211188468791,-0.02071912869760395,-0.08389303336901033,-0.04503298318708396,181237.9966979589,144066.9668225729,264024.77352060523,0.6666666666666666
2018-03-01,2018-04-02,-0.019327369953138104,0.0,0.0,-0.019327369953138104,-0.05300193539382536,-0.1712063576591507,0.033674565440687254,177735.14288621183,136431.13875465852,218822.05371436023,0.6666666666666666
2018-04-02,2018-05-01,0.03596354586252859,0.0,0.0,0.03596354586252859,0.04674943018560551,0.12833593898490547,-0.010785884323076922,184127.1288487832,142809.21675101208,246904.7874483981,0.6666666666666666
2018-05-01,2018-06-01,0.3260839842578661,0.0,0.0,0.3260839842578661,0.06118696141054314,0.18584827351176347,0.26489702284732297,244168.0366337559,151547.27878542614,292791.6159174718,0.6666666666666666
2018-06-01,2018-07-02,0.05357831342151938,0.0,0.0,0.05357831342151938,0.0024884773589035625,-0.0017097319031991187,0.051089836062615815,257250.14822803627,151924.4007574871,292291.02075074846,0.0
2018-07-02,2018-08-01,-0.03960984007202557,0.0,0.0,-0.03960984007202557,0.025000276120513254,0.06644993671855648,-0.06461011619253883,247060.51099821887,155722.5527258678,311713.740583038,0.0
2018-08-01,2018-09-04,0.3567075239882964,0.0,0.0,0.3567075239882964,0.049288454776825974,0.14726157656547678,0.30741906921147044,335188.8541516768,163397.8767236286,357617.1974584182,0.6666666666666666
2018-09-04,2018-10-01,-0.0026343967199328917,0.0,0.0,-0.0026343967199328917,0.0035243461643179597,0.001539916888857018,-0.006158742884250851,334305.83373374154,163973.74740371722,358167.8982205301,0.0
2018-10-01,2018-11-01,-0.14036803577954282,0.0,0.0,-0.14036803577954282,-0.07579084867275698,-0.23843451225156198,-0.06457718710678584,287379.9805028938,151546.0379279372,272768.3101041509,0.0
2018-11-01,2018-12-03,-0.029101203051794165,0.0,0.0,-0.029101203051794165,0.0015690236417054138,-0.02202243285900518,-0.03067022669349958,279016.8773372584,151783.81724425292,266761.28830881795,0.0
2018-12-03,2019-01-02,-0.11497621483838585,0.0,0.0,-0.11497621483838585,-0.09868778410434254,-0.29403724848724533,-0.01628843073404332,246936.57290499425,136804.6086575191,188323.53309158035,0.6666666666666666
2019-01-02,2019-02-01,0.232452292309683,0.0,0.0,0.232452292309683,0.0811596159762853,0.23529410513153537,0.1512926763333977,304337.54533185734,147907.61815994934,232634.95028557285,0.6666666666666666
2019-02-01,2019-03-01,0.004587861485851405,0.0,0.0,0.004587861485851405,0.04144530067260188,0.12174104152153875,-0.036857439186750475,305733.80383478396,154037.69386635683,260956.17142764985,0.6666666666666666
2019-03-01,2019-04-01,-0.030206089370626438,0.0,0.0,-0.030206089370626438,0.045766751893716595,0.13159606154656878,-0.07597284126434303,296498.7812325289,161087.49878381865,295296.9758237998,1.3333333333333333
2019-04-01,2019-05-01,-0.042322215915933804,0.0,0.0,-0.042322215915933804,0.03784888038601841,0.10935650606060143,-0.08017109630195221,283950.2957943946,167184.48025697027,327589.6213501525,0.6666666666666666
